epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,57.7185,1.21894,1.71137,1.29882,0.84169,0.79006,0.86278,0.58011,1.09426,1.14983,1.16005,0.00997826,0.00332609,0.00997826,0.00332609,0.00997826,0.00332609,0.00997826,0.00332609
2,107.632,1.15683,1.09332,1.20361,0.79268,0.76107,0.83323,0.55112,1.14192,1.04353,1.20039,0.0197805,0.00659349,0.0197805,0.00659349,0.0197805,0.00659349,0.0197805,0.00659349
3,156.516,1.22386,1.08575,1.24937,0.74972,0.63415,0.71846,0.41262,1.47955,1.25905,1.45274,0.0293847,0.0097949,0.0293847,0.0097949,0.0293847,0.0097949,0.0293847,0.0097949
4,205.83,1.26126,1.10086,1.28313,0.83267,0.75766,0.85099,0.54551,1.20147,1.02547,1.25912,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,254.597,1.21144,1.02178,1.25103,0.83743,0.80208,0.87725,0.5889,1.1307,0.87065,1.20093,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,303.562,1.18226,0.97805,1.2389,0.84914,0.78833,0.8749,0.5895,1.10369,0.84076,1.19097,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,352.657,1.15363,0.92565,1.2163,0.85999,0.8205,0.89362,0.62263,1.05674,0.77958,1.15983,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,402.604,1.1177,0.88444,1.20008,0.86794,0.83145,0.90816,0.64449,1.02165,0.72375,1.14084,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,452.187,1.0985,0.8511,1.19055,0.88411,0.84557,0.91734,0.65493,0.98995,0.68676,1.11419,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,501.981,1.09041,0.8452,1.18388,0.88114,0.85777,0.92513,0.66693,0.9816,0.66371,1.10817,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,551.009,1.07235,0.82351,1.17625,0.896,0.84313,0.92309,0.65875,0.99519,0.68456,1.11549,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,600.381,1.05774,0.79544,1.16192,0.88366,0.85739,0.92661,0.66395,0.98696,0.65424,1.10247,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,649.133,1.04171,0.77797,1.15409,0.86998,0.85135,0.91398,0.63701,1.03434,0.7102,1.14022,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,698.676,1.0407,0.77082,1.15134,0.89313,0.85478,0.93083,0.68595,0.93503,0.63897,1.07827,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,748.412,1.02289,0.7547,1.14189,0.89977,0.86677,0.93388,0.674,0.98141,0.62951,1.08905,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,797.203,1.02039,0.74156,1.13686,0.90649,0.874,0.94086,0.70176,0.90518,0.5948,1.05255,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,846.419,1.00516,0.7361,1.13546,0.89999,0.87278,0.93997,0.69893,0.90892,0.5997,1.06426,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,895.617,0.99684,0.72395,1.1301,0.90376,0.86815,0.93936,0.69941,0.91074,0.59029,1.05884,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,945.498,0.98678,0.7173,1.12117,0.88977,0.88773,0.94316,0.71298,0.87883,0.57672,1.04915,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,994.696,0.98442,0.70917,1.12126,0.92152,0.88408,0.95107,0.72279,0.873,0.55389,1.04044,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1044.31,0.97796,0.6974,1.11838,0.91561,0.87735,0.94824,0.71642,0.88146,0.55259,1.03905,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1093.08,0.97432,0.69228,1.11579,0.9152,0.88462,0.94834,0.72477,0.86775,0.54549,1.03372,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1142.85,0.96333,0.68325,1.11254,0.90991,0.88508,0.94802,0.72321,0.86762,0.54274,1.04029,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1193.39,0.95382,0.67022,1.10213,0.92967,0.87902,0.94836,0.72668,0.85551,0.53971,1.0289,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1242.61,0.95484,0.67024,1.10194,0.91195,0.90093,0.95487,0.73251,0.85439,0.52699,1.0269,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1291.14,0.94013,0.66065,1.09722,0.91498,0.89275,0.95206,0.72981,0.85561,0.52307,1.02622,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1341.02,0.93748,0.65707,1.09113,0.91306,0.89438,0.95066,0.73049,0.85212,0.52519,1.02269,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1390.63,0.92984,0.64645,1.0893,0.91404,0.89647,0.9546,0.73495,0.83516,0.51657,1.02235,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1440.32,0.93171,0.64426,1.09109,0.91899,0.89831,0.95597,0.74102,0.82669,0.50782,1.01415,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1491.66,0.92381,0.64048,1.08878,0.91629,0.8971,0.95431,0.74095,0.82293,0.5032,1.01172,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1542.2,0.92467,0.63761,1.08841,0.9152,0.89574,0.95541,0.74362,0.82929,0.50621,1.01461,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1592.73,0.91238,0.63239,1.0855,0.91661,0.90049,0.95692,0.74344,0.82551,0.49895,1.01871,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1642.65,0.91398,0.63008,1.08257,0.91927,0.90282,0.9578,0.74609,0.82044,0.4909,1.01084,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1692.97,0.90273,0.62088,1.0748,0.91567,0.90258,0.95671,0.74411,0.82998,0.49211,1.01198,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1744.08,0.90448,0.61651,1.07234,0.92239,0.90317,0.95897,0.74897,0.81517,0.49418,1.00102,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1793.32,0.89705,0.61365,1.0723,0.91229,0.9046,0.9582,0.75006,0.8106,0.49033,0.99617,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1842.97,0.8963,0.61121,1.07013,0.92018,0.90059,0.95863,0.74833,0.81362,0.48397,1.00003,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1894.34,0.89447,0.60709,1.0676,0.9213,0.90847,0.95997,0.75206,0.80671,0.47841,1.00632,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1944.25,0.88577,0.59654,1.07012,0.92592,0.90558,0.96108,0.75406,0.80709,0.47199,1.00217,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1995.81,0.87831,0.59391,1.06357,0.91372,0.91505,0.96075,0.75659,0.7934,0.47029,0.99352,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2046.46,0.88111,0.58984,1.06224,0.92587,0.89634,0.96054,0.75781,0.79514,0.46578,0.99141,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2096.77,0.87741,0.59066,1.06268,0.91939,0.91206,0.96112,0.75764,0.79561,0.46654,1.00057,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2147.7,0.86845,0.58457,1.05915,0.92802,0.90295,0.96244,0.76398,0.78547,0.45786,0.98998,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2196.98,0.8696,0.58197,1.05586,0.91382,0.91949,0.96364,0.76068,0.79354,0.45804,0.98748,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2246.33,0.86402,0.57929,1.05328,0.9263,0.90975,0.96153,0.76226,0.78574,0.4562,0.98165,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2295.48,0.86489,0.58116,1.05208,0.92386,0.90776,0.96056,0.76423,0.78118,0.45636,0.98997,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2344.59,0.86263,0.57704,1.05417,0.93272,0.90777,0.96435,0.76588,0.78407,0.44746,0.9877,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2392.25,0.86001,0.57056,1.05306,0.92815,0.91001,0.96439,0.76282,0.78492,0.44971,0.98884,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2439.15,0.85109,0.56829,1.05047,0.92203,0.91488,0.96246,0.76536,0.77983,0.44621,0.98208,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2486.03,0.84795,0.56267,1.04511,0.92505,0.91491,0.96331,0.76665,0.77501,0.4449,0.97984,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2533,0.8462,0.56069,1.04897,0.92274,0.91692,0.96366,0.76532,0.77686,0.44611,0.98488,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2579.97,0.83602,0.5493,1.04174,0.92048,0.9181,0.96489,0.76603,0.78081,0.4365,0.98377,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2626.76,0.84721,0.55343,1.04164,0.92257,0.91725,0.96312,0.76748,0.77379,0.44241,0.97657,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2673.55,0.83579,0.55017,1.0403,0.9334,0.90957,0.96445,0.76951,0.76753,0.43959,0.97716,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,2720.4,0.83126,0.54865,1.03839,0.93271,0.91193,0.96463,0.77093,0.76668,0.43551,0.97868,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,2767.24,0.83,0.54356,1.03939,0.93588,0.91411,0.96764,0.77248,0.76962,0.42973,0.97792,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,2814.01,0.82454,0.53854,1.0313,0.92778,0.91515,0.96443,0.77247,0.76387,0.42958,0.97137,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2860.8,0.82099,0.53496,1.03176,0.92547,0.91556,0.96432,0.77302,0.76195,0.42846,0.96955,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2907.57,0.81849,0.5346,1.02867,0.92697,0.91836,0.96618,0.7756,0.75754,0.42996,0.96784,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2954.42,0.81706,0.52735,1.02713,0.926,0.91777,0.96797,0.77731,0.7549,0.42654,0.97007,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3001.18,0.81385,0.5274,1.03042,0.92589,0.92172,0.96551,0.77749,0.75606,0.42569,0.97078,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
