epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,97.9232,1.19197,1.15333,1.28305,0.86181,0.83669,0.89624,0.6192,1.02901,0.70534,1.12272,0.00997826,0.00332609,0.00997826,0.00332609,0.00997826,0.00332609,0.00997826,0.00332609
2,187.937,1.12113,0.87147,1.18676,0.81542,0.7368,0.82626,0.50974,1.21866,0.99185,1.25714,0.0197805,0.00659349,0.0197805,0.00659349,0.0197805,0.00659349,0.0197805,0.00659349
3,277.787,1.19915,0.98901,1.2392,0.75542,0.65189,0.73786,0.42777,1.3852,1.2665,1.40488,0.0293847,0.0097949,0.0293847,0.0097949,0.0293847,0.0097949,0.0293847,0.0097949
4,367.39,1.24349,1.044,1.27347,0.79886,0.71376,0.80046,0.50035,1.24001,1.04697,1.2939,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,455.764,1.20034,0.97987,1.2561,0.82921,0.77441,0.85823,0.55615,1.17657,0.90557,1.2358,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,545.106,1.15445,0.92239,1.22515,0.82301,0.76973,0.84082,0.54361,1.20727,0.91419,1.27408,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,634.156,1.12079,0.86855,1.20159,0.86517,0.8483,0.91235,0.63755,1.02539,0.71799,1.1458,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,723.46,1.10146,0.83948,1.18829,0.87502,0.79531,0.88817,0.60381,1.11144,0.78225,1.2025,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,812.935,1.07246,0.80625,1.17841,0.89658,0.86016,0.93082,0.67509,0.9588,0.65756,1.101,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,902.223,1.05279,0.78241,1.16495,0.89177,0.86178,0.92942,0.68056,0.94183,0.63027,1.08468,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,989.344,1.02852,0.76193,1.15488,0.91009,0.86809,0.94006,0.6947,0.92516,0.59326,1.07755,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1076.85,1.02587,0.74371,1.14844,0.88793,0.87356,0.93731,0.67364,0.98205,0.62384,1.1,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1163.95,1.004,0.72604,1.13953,0.89353,0.88354,0.94198,0.70323,0.90134,0.57981,1.06865,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1251.53,0.99032,0.70739,1.13327,0.90944,0.87938,0.94359,0.70063,0.91672,0.57681,1.06594,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1339.26,0.97656,0.69267,1.12421,0.89297,0.89367,0.94569,0.71118,0.89332,0.57754,1.05913,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1426.7,0.97412,0.68434,1.11851,0.90993,0.88718,0.94969,0.71872,0.87918,0.55307,1.04847,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1514.53,0.96741,0.676,1.11326,0.90261,0.89087,0.94926,0.7281,0.85767,0.54376,1.0418,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1602.82,0.94983,0.66724,1.10817,0.90971,0.88724,0.94797,0.71439,0.88762,0.54936,1.05002,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1690.24,0.93993,0.653,1.0981,0.90463,0.90348,0.95433,0.73142,0.85838,0.51983,1.02643,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1777.52,0.93278,0.64358,1.09544,0.91866,0.89295,0.95258,0.72983,0.8539,0.51754,1.02561,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1865.68,0.92177,0.63434,1.08898,0.92756,0.89556,0.95739,0.73874,0.8381,0.50725,1.01764,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1953.64,0.92214,0.63212,1.08863,0.92472,0.89597,0.95824,0.74282,0.82975,0.50004,1.01395,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2041.16,0.91224,0.62012,1.08508,0.91849,0.89718,0.95754,0.74434,0.82185,0.49323,1.01101,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2128.42,0.8997,0.61109,1.08317,0.91819,0.89802,0.95617,0.74073,0.82416,0.49546,1.01835,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2215.91,0.89808,0.61216,1.07752,0.92298,0.90219,0.95758,0.74815,0.81252,0.48587,1.00373,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2303.92,0.88877,0.5969,1.06847,0.92759,0.89967,0.95806,0.74642,0.82128,0.47985,1.00966,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2391.95,0.88613,0.60014,1.07063,0.91933,0.90625,0.95795,0.74974,0.80453,0.48436,1.00396,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2480.68,0.87564,0.58757,1.06506,0.91538,0.913,0.95865,0.75333,0.79929,0.47162,0.99694,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2568.76,0.87393,0.5837,1.05967,0.91816,0.91094,0.96093,0.75525,0.80532,0.47288,0.99812,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2656.77,0.8622,0.57299,1.05859,0.92033,0.91398,0.95972,0.75791,0.79325,0.46486,0.99697,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2744.72,0.85788,0.56678,1.05119,0.92817,0.90555,0.96065,0.75936,0.78457,0.46014,0.98503,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2832.08,0.85587,0.56322,1.04931,0.91517,0.91037,0.96053,0.7612,0.78461,0.46301,0.99468,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2919.24,0.86041,0.56867,1.05611,0.93301,0.90711,0.9623,0.76088,0.78938,0.45029,0.99183,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3006.64,0.85152,0.55774,1.04622,0.92394,0.90898,0.96272,0.76239,0.77916,0.45498,0.9788,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3094.35,0.84849,0.55448,1.04973,0.91475,0.91669,0.9585,0.76091,0.78232,0.45233,0.98528,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3181.86,0.84149,0.54806,1.04276,0.92182,0.91896,0.96112,0.7633,0.7819,0.44281,0.99206,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3268.78,0.82999,0.53631,1.04034,0.92395,0.90721,0.96191,0.76393,0.77393,0.44713,0.98102,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3355.88,0.82668,0.53877,1.03529,0.92379,0.9168,0.96463,0.76928,0.77376,0.44035,0.9788,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3443.1,0.82238,0.52665,1.03439,0.92526,0.92501,0.96476,0.77164,0.76301,0.42884,0.97483,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3531.85,0.82015,0.52564,1.03777,0.92301,0.9222,0.96375,0.76855,0.76638,0.43692,0.97949,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3619.55,0.81592,0.52353,1.03097,0.93022,0.91269,0.96227,0.77232,0.75997,0.42961,0.97277,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3717.17,0.81067,0.52065,1.03103,0.93139,0.91443,0.9634,0.77103,0.76216,0.4306,0.97878,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3804.51,0.80478,0.51743,1.02941,0.92474,0.92472,0.9641,0.77375,0.76041,0.42757,0.98226,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3891.99,0.80572,0.51085,1.02488,0.92801,0.91568,0.96341,0.77345,0.76168,0.42717,0.97595,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3979.39,0.79786,0.51099,1.02553,0.92682,0.92122,0.9678,0.77773,0.74944,0.4166,0.96829,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4067.28,0.79015,0.50327,1.01623,0.92642,0.91961,0.96638,0.77674,0.74887,0.41884,0.96903,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4156.71,0.78085,0.49652,1.01717,0.92667,0.92377,0.96655,0.77994,0.74401,0.4127,0.96751,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4247.21,0.78914,0.50114,1.022,0.92106,0.9263,0.96628,0.77878,0.74512,0.41593,0.9739,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4338.77,0.78415,0.4948,1.01341,0.92975,0.92548,0.96827,0.78114,0.73724,0.40882,0.96519,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4430.16,0.77357,0.48692,1.01096,0.92784,0.92681,0.966,0.78087,0.73426,0.41086,0.96085,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4519.5,0.76829,0.48387,1.01307,0.9339,0.91981,0.96466,0.78101,0.73841,0.40948,0.96579,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4608.87,0.76594,0.48447,1.00909,0.91962,0.9331,0.96633,0.78287,0.73509,0.40481,0.95615,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4698.21,0.76297,0.47876,1.00688,0.92743,0.92618,0.96576,0.78321,0.73401,0.40214,0.96122,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4787.21,0.76364,0.47378,1.00724,0.92864,0.92484,0.9655,0.78247,0.73269,0.40371,0.95749,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4876.09,0.75621,0.47424,0.9999,0.93125,0.92322,0.96505,0.78407,0.72893,0.40394,0.95718,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4965.23,0.7521,0.46796,1.00253,0.93548,0.92566,0.96365,0.78303,0.73068,0.39793,0.96222,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5053.99,0.74739,0.46465,0.99855,0.92963,0.9269,0.96337,0.78395,0.7275,0.40304,0.95808,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5143.23,0.74521,0.4654,0.99957,0.93118,0.92684,0.96662,0.78639,0.72602,0.39811,0.9632,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5308.45,0.73845,0.45935,0.99749,0.93299,0.92344,0.96532,0.78471,0.7248,0.39911,0.95911,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5397.55,0.72915,0.4517,0.99284,0.93662,0.9187,0.96398,0.78504,0.72523,0.40004,0.96266,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5487.33,0.73166,0.45274,0.99225,0.92836,0.9275,0.96334,0.7831,0.73104,0.39969,0.96019,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5577.68,0.72536,0.45357,0.99171,0.9315,0.92725,0.96473,0.78694,0.7253,0.39341,0.95656,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5667.86,0.72507,0.45073,0.98807,0.92786,0.92641,0.96343,0.786,0.72442,0.39439,0.95532,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5758.66,0.72342,0.44407,0.98962,0.93424,0.92109,0.96525,0.78672,0.72204,0.3956,0.95848,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5848.11,0.72313,0.44697,0.99196,0.93239,0.92684,0.96437,0.78685,0.72319,0.39138,0.96149,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5937.19,0.71823,0.4394,0.98529,0.93576,0.92162,0.96428,0.78645,0.72005,0.38946,0.95323,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6026.11,0.71253,0.43809,0.98429,0.93219,0.92266,0.96255,0.78711,0.71562,0.39117,0.95129,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6114.95,0.71176,0.43817,0.983,0.93647,0.92177,0.96258,0.78775,0.71629,0.39169,0.95114,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6204.26,0.70397,0.43435,0.98344,0.93218,0.92127,0.96447,0.78986,0.71392,0.38946,0.95364,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,6301.5,0.7071,0.43608,0.98344,0.93435,0.92293,0.96298,0.78842,0.71419,0.38918,0.95491,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6391.02,0.70318,0.42699,0.98051,0.92866,0.92895,0.96266,0.78885,0.71417,0.39085,0.95617,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6481.01,0.69825,0.42456,0.97525,0.92553,0.931,0.9636,0.79049,0.7138,0.3847,0.95466,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6570.43,0.69555,0.42167,0.97699,0.92463,0.92796,0.96346,0.78952,0.71427,0.38672,0.95867,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6659.48,0.68436,0.41996,0.9744,0.93315,0.923,0.96414,0.79189,0.71078,0.38681,0.95776,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,6748.4,0.67954,0.41213,0.96963,0.92881,0.92767,0.96437,0.79028,0.70786,0.38749,0.95413,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,6837.5,0.68024,0.41424,0.97118,0.92572,0.92787,0.96369,0.78868,0.70734,0.38828,0.95373,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,6926.7,0.68011,0.41086,0.96736,0.92213,0.93127,0.96344,0.78963,0.70759,0.38914,0.95254,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,7015.73,0.67391,0.40799,0.96822,0.92922,0.92429,0.96251,0.78906,0.7101,0.38945,0.9536,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,7104.84,0.67012,0.40551,0.96373,0.92664,0.92755,0.96282,0.78894,0.70731,0.38832,0.95178,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,7193.57,0.67452,0.40615,0.96655,0.93046,0.9258,0.96257,0.78888,0.70735,0.38691,0.95024,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,7282.56,0.66331,0.39571,0.96102,0.92785,0.92568,0.9623,0.78919,0.70481,0.38942,0.94857,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,7371.7,0.66562,0.39761,0.96266,0.91903,0.93429,0.96241,0.78842,0.70507,0.38866,0.94997,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,7460.56,0.6534,0.39275,0.95955,0.9221,0.93031,0.96147,0.78833,0.70729,0.38926,0.95093,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,7549.3,0.6549,0.38925,0.96057,0.92648,0.92633,0.96223,0.78809,0.70864,0.38904,0.95258,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,7638.28,0.65173,0.389,0.95905,0.91827,0.93239,0.96219,0.78952,0.70853,0.38917,0.95352,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,7727.41,0.65125,0.38813,0.95977,0.92513,0.92694,0.96202,0.78875,0.70824,0.38852,0.95422,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,7816.64,0.64166,0.38383,0.9544,0.92306,0.92577,0.96195,0.7894,0.70757,0.38809,0.95429,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,7905.74,0.64177,0.37963,0.95282,0.91982,0.93047,0.96098,0.78787,0.70646,0.38892,0.95329,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,7995.04,0.64036,0.37964,0.95031,0.92087,0.9299,0.96155,0.78776,0.70659,0.38872,0.95288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,8084.3,0.6367,0.37901,0.95084,0.91618,0.93461,0.96077,0.7868,0.70712,0.39063,0.95336,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,8174.1,0.5631,0.30499,0.90732,0.9236,0.92628,0.96048,0.78809,0.70795,0.39043,0.95441,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,8263.63,0.55384,0.29552,0.90307,0.92473,0.9278,0.96035,0.7867,0.70916,0.39141,0.95477,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,8352.59,0.54917,0.29278,0.89935,0.92581,0.92654,0.96033,0.78551,0.70933,0.39098,0.95501,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,8441.48,0.5438,0.28944,0.89922,0.92583,0.92724,0.96107,0.78591,0.70845,0.39187,0.9551,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
